Table 8,,,,,,,,,,,
NEW JERSEY,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2019",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen Township,"18,700",15,0,3,5,7,164,7,145,12,0
Absecon,"8,436",8,0,1,2,5,236,24,207,5,0
Allendale,"6,795",0,0,0,0,0,38,8,26,4,0
Allenhurst,484,0,0,0,0,0,11,1,9,1,0
Allentown,"1,784",0,0,0,0,0,8,2,6,0,0
Alpha,"2,262",1,0,0,0,1,37,7,30,0,0
Alpine,"1,856",1,0,0,0,1,15,4,2,9,0
Andover Township,"5,870",0,0,0,0,0,17,3,13,1,0
Asbury Park,"15,437",179,2,10,47,120,525,59,457,9,0
Atlantic City,"37,593",323,11,29,182,101,"1,738",130,"1,519",89,2
Atlantic Highlands,"4,308",3,0,0,1,2,50,2,48,0,0
Audubon,"8,601",5,0,0,2,3,296,21,268,7,0
Audubon Park,997,1,0,0,0,1,5,0,5,0,0
Avalon,"1,236",5,0,0,0,5,157,12,145,0,0
Avon-by-the-Sea,"1,766",1,0,0,0,1,36,5,31,0,0
Barnegat Light,587,0,0,0,0,0,6,1,5,0,0
Barnegat Township,"23,399",12,0,0,4,8,124,13,108,3,0
Barrington,"6,620",3,0,1,1,1,62,8,49,5,0
Bay Head,976,0,0,0,0,0,15,3,12,0,0
Bayonne,"65,032",145,2,11,52,80,704,120,519,65,4
Beach Haven,"1,191",0,0,0,0,0,141,5,136,0,0
Beachwood,"11,275",5,0,3,0,2,79,14,65,0,0
Bedminster Township,"8,043",2,0,0,0,2,39,6,29,4,0
Belleville,"36,531",78,1,9,24,44,508,70,351,87,1
Bellmawr,"11,294",13,0,0,2,11,133,28,97,8,1
Belmar,"5,562",8,0,0,0,8,86,4,78,4,0
Belvidere,"2,564",8,0,1,0,7,32,13,19,0,0
Bergenfield,"27,432",15,1,1,0,13,75,11,62,2,0
Berkeley Heights Township,"13,592",4,0,3,1,0,58,12,36,10,0
Berkeley Township,"41,738",44,0,9,10,25,385,68,310,7,1
Berlin,"7,510",10,0,0,2,8,126,21,100,5,1
Berlin Township,"5,651",3,0,0,3,0,126,11,111,4,1
Bernards Township,"27,228",0,0,0,0,0,83,15,54,14,0
Bernardsville,"7,670",2,0,0,0,2,43,3,34,6,0
Beverly,"2,476",11,0,0,1,10,35,9,20,6,0
Blairstown Township,"5,703",5,0,1,0,4,19,8,10,1,0
Bloomfield,"50,307",32,0,0,11,21,567,58,447,62,0
Bloomingdale,"8,089",5,0,3,0,2,32,3,29,0,0
Bogota,"8,403",2,0,0,2,0,33,5,26,2,0
Boonton,"8,157",11,0,1,2,8,82,8,70,4,0
Boonton Township,"4,279",2,0,1,0,1,18,4,12,2,0
Bordentown City,"3,786",2,0,0,1,1,26,1,24,1,0
Bordentown Township,"12,018",11,0,0,0,11,66,3,53,10,2
Bound Brook,"10,257",16,1,0,6,9,112,11,98,3,0
Bradley Beach,"4,158",6,0,0,0,6,68,7,60,1,0
Branchburg Township,"14,551",4,0,2,1,1,83,13,63,7,1
Brick Township,"75,592",83,3,18,9,53,805,128,665,12,4
Bridgeton,"24,331",223,2,17,114,90,848,261,549,38,1
Bridgewater Township,"44,610",7,0,0,3,4,435,32,382,21,1
Brielle,"4,683",2,0,1,0,1,15,3,11,1,0
Brigantine,"8,684",1,0,0,0,1,165,31,129,5,0
Brooklawn,"1,899",16,0,1,5,10,149,13,134,2,0
Buena,"4,316",4,0,1,0,3,47,16,28,3,0
Burlington City,"9,877",51,2,2,14,33,150,40,94,16,0
Burlington Township,"22,516",31,0,7,6,18,261,30,210,21,1
Butler,"7,613",1,0,0,0,1,26,3,22,1,0
Byram Township,"7,875",10,0,4,1,5,63,9,48,6,0
Caldwell,"7,943",7,0,1,0,6,57,15,41,1,0
Califon,"1,055",0,0,0,0,0,3,1,1,1,0
Camden County Police Department,"73,270","1,159",25,67,302,765,"2,101",372,"1,194",535,41
Cape May,"3,428",4,0,1,0,3,94,3,86,5,0
Cape May Point,274,0,0,0,0,0,4,3,1,0,0
